TABLE NAME	SYSTEM FIELD NAME	Count not null	# Missing	% Missing	Unique Values	Used in Data For Model	Updated on Record Creation 	Field Description
ODS_SFBILL_TRANSACTION__C	SFBILL__REVPROCESSINGSTATUS__C	1494907	90778	5.7	1	N	N	Revenue processing - not relevent since happens after pmt
ODS_SFBILL_TRANSACTION__C	SFBILL__PAYMENTTERM__C	1501600	84085	5.3	7	Y	Y	Customer payment terms (EX: NET30)
ODS_SFBILL_TRANSACTION__C	SFBILL__SHIPPINGZIP__C	1550821	34864	2.2	66975	N	Y	using billing vs shipping
ODS_SFBILL_TRANSACTION__C	SFBILL__REVOWNER__C	1557469	28216	1.8	12	N	Y	Region that customer is billed in  *shipping country might matter more
ODS_SFBILL_TRANSACTION__C	SFBILL__REVENUEREGION__C	1557469	28216	1.8	49	N	Y	Region that customer is billed in  *shipping country might matter more
ODS_SFBILL_TRANSACTION__C	SFBILL__SHIPPINGCOUNTRY__C	1559972	25713	1.6	186	N	Y	using billing vs shipping
ODS_SFBILL_TRANSACTION__C	SFBILL__SHIPPINGCITY__C	1559972	25713	1.6	31451	N	Y	using billing vs shipping
ODS_SFBILL_TRANSACTION__C	SFBILL__SHIPPINGSTREET__C	1559972	25713	1.6	200619	N	Y	using billing vs shipping
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGZIP__C	1575885	9800	0.6	55214	N	Y	Billing zip code
ODS_SFBILL_TRANSACTION__C	SFBILL__GLDATE__C	1584613	1072	0.1	290	N	N	Date that the invoice is paid
ODS_SFBILL_TRANSACTION__C	SFBILL__EXTERNALSYSTEMREF__C	1584613	1072	0.1	1584613	N	Y	External system reference
ODS_SFBILL_TRANSACTION__C	SFBILL__EXCHRATEFUNCCRNCY__C	1584613	1072	0.1	5	N	Y	Currency for converting to functional currency.  (Example:  company bills in pesos but converts to USD to spend the money)
ODS_SFBILL_TRANSACTION__C	SFBILL__EXCHANGERATE__C	1584613	1072	0.1	2042	N	Y	Billing exchange rate - billing currency is probably better then actual conversion
ODS_SFBILL_TRANSACTION__C	SFBILL__DUEDATE__C	1584613	1072	0.1	351	N	Y	Date that the invoice is due
ODS_SFBILL_TRANSACTION__C	SFBILL__VATREGCRNCYFXRATE__C	1584613	1072	0.1	2875	N	Y	Value added tax exchange rate
ODS_SFBILL_TRANSACTION__C	ORGANIZATIONID__C	1584613	1072	0.1	12	N	Y	Internal ID
ODS_SFBILL_TRANSACTION__C	SFBILL__INVOICEAGE__C	1584613	1072	0.1	371	Y	N	day from when the due date is.  Relevant if the invoice is still open.
ODS_SFBILL_TRANSACTION__C	INVOICE__AGE__C	1584613	1072	0.1	371	N	N	day from when the due date is.  Is continuous so not good for prediction
ODS_SFBILL_TRANSACTION__C	SFBILL__ACCOUNTNUMBER__C	1585575	110	0	239910	N	Y	Unique identifer for an account
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGCITY__C	1585655	30	0	29955	N	Y	Billing City
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGSTREET__C	1585679	6	0	176000	N	Y	Billing street
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGLANGUAGE__C	1585682	3	0	12	Y	Y	Language for billing contact
ODS_SFBILL_TRANSACTION__C	AUDIT_ETL_JOB_INS_KEY	1585685	0	0	282	N	N	Key for the database update job
ODS_SFBILL_TRANSACTION__C	CREATEDBYID	1585685	0	0	82	N	Y	ID of who created the record
ODS_SFBILL_TRANSACTION__C	SFBILL__ACCOUNTNAME__C	1585685	0	0	240032	N	Y	OBFUCATED - Name of the Account
ODS_SFBILL_TRANSACTION__C	ISLOCKED	1585685	0	0	1	N	Y	System admin field
ODS_SFBILL_TRANSACTION__C	MAYEDIT	1585685	0	0	2	N	Y	System admin field
ODS_SFBILL_TRANSACTION__C	AUDIT_ETL_JOB_UPD_TS	1585685	0	0	5333	N	N	Timestamp for when the data load job was started
ODS_SFBILL_TRANSACTION__C	SYSTEMMODSTAMP	1585685	0	0	279	N	Y	Updated if the system modifies the record
ODS_SFBILL_TRANSACTION__C	LASTMODIFIEDBYID	1585685	0	0	210	N	Y	ID for the person who last modified the record
ODS_SFBILL_TRANSACTION__C	LASTMODIFIEDDATE	1585685	0	0	290	N	Y	Timestamp for when the record was last modified
ODS_SFBILL_TRANSACTION__C	CREATEDDATE	1585685	0	0	296	N	Y	When the record was created
ODS_SFBILL_TRANSACTION__C	SFBILL__X30DAYCONTRACTEXTXN__C	1585685	0	0	2	Y	N	True if 30 day extension is inplace.  Potential to pay late as they are negotiating a renewal
ODS_SFBILL_TRANSACTION__C	R12CONVERSIONINDICATOR__C	1585685	0	0	1	N	N	Not used anymore - was used for revenue conversion previously
ODS_SFBILL_TRANSACTION__C	AUTOAPPLYUNAPPLPAYMENTS__C	1585685	0	0	2	N	N	Don't use this field
ODS_SFBILL_TRANSACTION__C	RECORDTYPEID	1585685	0	0	6	N	Y	ID for the transaction type - need to join this to another object to see the values
ODS_SFBILL_TRANSACTION__C	CURRENCYISOCODE	1585685	0	0	7	Y	Y	Currency that the customer is billed in
ODS_SFBILL_TRANSACTION__C	DEL_FLG	1585685	0	0	2	N	Y	Should we filter where delete flag is N?
ODS_SFBILL_TRANSACTION__C	OWNERID	1585685	0	0	82	N	Y	"JOIN TO RECORD OWNER FOR USER DETAILS?  (tenure, office location, manager?)"
ODS_SFBILL_TRANSACTION__C	AUDIT_ETL_JOB_UPD_KEY	1585685	0	0	275	N	N	Key for the database update job
ODS_SFBILL_TRANSACTION__C	COURTESYSENT__C	1585685	0	0	2	Y	N	Courtesy email / notification sent?
ODS_SFBILL_TRANSACTION__C	NAME	1585685	0	0	1585187	N	Y	Transaction name - don't really need since we have the ID field
ODS_SFBILL_TRANSACTION__C	SFBILL__ISCHECKOUTPARTNER__C	1585685	0	0	2	N	Y	Should exclude this field - was for old external system
ODS_SFBILL_TRANSACTION__C	SFBILL__TRANSACTIONTYPE__C	1585685	0	0	3	N	Y	We should filter on INV type only so that we are looking at invoices and not credit / debit memos
ODS_SFBILL_TRANSACTION__C	SFBILL__LTVCONTRIBUTION__C	1585685	0	0	1	N	N	Stands for Life Time Value Contribution but the field is not used anymore
ODS_SFBILL_TRANSACTION__C	AUDIT_ETL_JOB_INS_TS	1585685	0	0	9580	N	M	Timestamp for when the data was loaded to the database
ODS_SFBILL_TRANSACTION__C	REVENUE__OWNER__C	1585685	0	0	13	N	Y	Region that revenue is booked to.  Billing country is better
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGCOUNTRY__C	1585685	0	0	186	Y	Y	Billing country for the customer
ODS_SFBILL_TRANSACTION__C	SFBILL__DATETIMEOFFSET__C	1585685	0	0	9	N	M	Date Time offset for Revenue Owner
ODS_SFBILL_TRANSACTION__C	SFBILL__STATUS__C	1585685	0	0	13	N	M	transaction status
ODS_SFBILL_TRANSACTION__C	SFBILL__ISTOBEPRINTED__C	1585685	0	0	2	N	N	collector sends to customer * not good for prediction
ODS_SFBILL_TRANSACTION__C	SFBILL__ISTOBEEMAILED__C	1585685	0	0	2	N	N	collector sends to customer * not good for prediction
ODS_SFBILL_TRANSACTION__C	SFBILL__INVOICERESENT__C	1585685	0	0	1	N	N	Was the invoice resent?  Doesn't look like it is used
ODS_SFBILL_TRANSACTION__C	SFBILL__INVOICESRETURNED__C	1585685	0	0	1	N	N	Was the invoice retruned?  Doesn't look like it is used
ODS_SFBILL_TRANSACTION__C	SFBILL__TAXBALANCEDUE__C	1585685	0	0	26578	N	Y	tax on the balance due
ODS_SFBILL_TRANSACTION__C	SFBILL__TRANSACTIONAUTONUM__C	1585685	0	0	1585685	N	Y	Transaction number.  Not needed for model
ODS_SFBILL_TRANSACTION__C	SFBILL__TOTALTAX__C	1585685	0	0	89862	Y	Y	Tax Amount
ODS_SFBILL_TRANSACTION__C	SFBILL__TOTALPAYMENT__C	1585685	0	0	218747	N	N	Amount of the payment made
ODS_SFBILL_TRANSACTION__C	SFBILL__TOTALWRITEOFF__C	1585685	0	0	5556	N	N	Amount of the contract written off as bad debt
ODS_SFBILL_TRANSACTION__C	SFBILL__REVENUEOWNER__C	1585685	0	0	13	N	Y	Region that revenue is booked to.  Billing country is better
ODS_SFBILL_TRANSACTION__C	SFBILL__TOTALCREDIT__C	1585685	0	0	33772	N	Y	Total amount of a credit if a customer has a credit on their account
ODS_SFBILL_TRANSACTION__C	SFBILL__BALANCEDUE__C	1585685	0	0	71658	N	Y	Balance still due - will be 0 if paid which triggers days to pay
ODS_SFBILL_TRANSACTION__C	SFBILL__TOTALAMOUNT__C	1585685	0	0	250100	Y	Y	Total Amount of the invoice
ODS_SFBILL_TRANSACTION__C	SFBILL__TRANSACTIONDATE__C	1585685	0	0	290	N	N	Date that the invoice is sent?
ODS_SFBILL_TRANSACTION__C	SFBILL__CONTRACT__C	1585685	0	0	398715	N	Y	Contract number - JOIN TO CONTRACT
ODS_SFBILL_TRANSACTION__C	ID	1585685	0	0	1585685	Y	Y	This is the unique ID field for the Transaction object
